id,name,description,work_flow,audio_codec,audio_channel,audio_data_rate,audio_format,audio_sample_rate,audio_sample_size,video_codec,video_bit_rate,video_bit_rate_max_percent,video_bit_rate_method,video_frame_rate,video_frame_size,video_key_frame,compression_speed,constrained_quality_level,cpu_usage,decode_cpu_cores,drop_frames_threshold,drop_frames_to_maintain_data_rate,enable_auto_alt_ref,encoding_threads,error_resilient,lagged_frames,maximum_buffer_size,maximum_quality,minimum_quality,noise_sensitivity,optimal_buffer_level,profile,rate_control_resizing,rate_control_resizing_down_threshold,rate_control_resizing_up_threshold,sharpness,starting_buffer_level,static_region_threshold,two_pass_vbr_bias,two_pass_vbr_max_section,two_pass_vbr_min_section,under_shoot_pct,visual_tuning
24,MKV.spfx,,FormatTemplates.Matroska,"SMI VRBS",ChannelModeStereo,128000,None,44100,16,"ON2!VP8 ",990000,,BitRateModeTwoPassVBR,-1,852x480,10/Seconds,"Good Quality",31,3,2,70,False,True,30,True,Auto,10,100,5,0,6,0,False,30,0,3,6,800,70,600,20,100,"Structural Similarity"
25,MKV_1200Kbps_480p.spfx,"Matroska video for progressive download on fast Wi-Fi network connections.","","SMI VRBS",ChannelModeStereo,128000,None,44100,16,"ON2!VP8 ",990000,,BitRateModeTwoPassVBR,-1,852x480,10/Seconds,"Good Quality",31,3,2,70,False,True,30,True,Auto,10,100,5,0,6,0,False,30,0,3,6,800,70,600,20,100,"Structural Similarity"
26,MKV_2000Kbps_720p.spfx,"Matroska video for progressive download on slow broadband network connections.","","SMI VRBS",ChannelModeStereo,160000,None,44100,16,"ON2!VP8 ",1800000,,BitRateModeTwoPassVBR,-1,1280x720,10/Frames,"Good Quality",31,0,2,70,False,True,30,True,Auto,10,100,5,0,6,0,False,30,0,3,6,800,70,600,20,100,"Structural Similarity"
27,MKV_3000Kbps_720p.spfx,"Matroska video for progressive download on average broadband network connections.","","SMI VRBS",ChannelModeStereo,160000,None,44100,16,"ON2!VP8 ",2800000,,BitRateModeTwoPassVBR,-1,1280x720,10/Seconds,"Good Quality",31,3,2,70,False,True,30,True,Auto,10,100,5,0,6,0,False,30,0,3,6,800,70,600,20,100,"Structural Similarity"
28,MKV_512Kbps_288p.spfx,"Matroska video for progressive download on average 3g network connections.","","SMI VRBS",ChannelModeStereo,64000,None,44100,16,"ON2!VP8 ",400000,,BitRateModeTwoPassVBR,-1,512x288,10/Seconds,"Good Quality",31,3,2,70,False,True,30,True,Auto,10,100,5,0,6,0,False,30,0,0,6,0,70,600,20,100,"Structural Similarity"
29,MKV_768Kbps_360p.spfx,"Matroska video for progressive download on fast 3g network connections.","","SMI VRBS",ChannelModeStereo,96000,None,44100,16,"ON2!VP8 ",600000,,BitRateModeTwoPassVBR,-1,480x360,10/Seconds,"Good Quality",31,3,2,70,False,True,30,True,Auto,10,100,5,0,6,0,False,30,0,3,6,800,70,600,20,100,"Structural Similarity"
235,WEBM.spfx,,FormatTemplates.QuickTime,"SMI VRBS",ChannelModeStereo,128000,None,44100,16,"ON2!VP8 ",990000,,BitRateModeTwoPassVBR,-1,852x480,10/Seconds,"Good Quality",31,3,2,70,False,True,30,True,Auto,10,100,5,0,6,0,False,30,0,0,6,0,70,600,20,100,"Structural Similarity"
236,WEBM_WebM_1200Kbps_480p.spfx,"WebM video for progressive download on fast Wi-Fi network connections.","Web.Progressive Download.WebM","SMI VRBS",ChannelModeStereo,128000,None,44100,16,"ON2!VP8 ",990000,,BitRateModeTwoPassVBR,-1,852x480,10/Seconds,"Good Quality",31,3,2,70,False,True,30,True,Auto,10,100,5,0,6,0,False,30,0,0,6,0,70,600,20,100,"Structural Similarity"
237,WEBM_WebM_2000Kbps_720p.spfx,"WebM video for progressive download on slow broadband network connections.","Web.Progressive Download.WebM","SMI VRBS",ChannelModeStereo,160000,None,44100,16,"ON2!VP8 ",1800000,,BitRateModeTwoPassVBR,-1,1280x720,10/Seconds,"Good Quality",31,3,2,70,False,True,30,True,Auto,10,100,5,0,6,0,False,30,0,0,6,0,70,600,20,100,"Structural Similarity"
238,WEBM_WebM_3000Kbps_720p.spfx,"WebM video for progressive download on average broadband network connections.","Web.Progressive Download.WebM","SMI VRBS",ChannelModeStereo,160000,None,44100,16,"ON2!VP8 ",2800000,,BitRateModeTwoPassVBR,-1,1280x720,10/Seconds,"Good Quality",31,3,2,70,False,True,30,True,Auto,10,100,5,0,6,0,False,30,0,0,6,0,70,600,20,100,"Structural Similarity"
239,WEBM_WebM_512Kbps_288p.spfx,"WebM video for progressive download on average 3g network connections.","Web.Progressive Download.WebM","SMI VRBS",ChannelModeStereo,96000,None,44100,16,"ON2!VP8 ",400000,,BitRateModeTwoPassVBR,-1,512x288,10/Seconds,"Good Quality",31,3,2,70,False,True,30,True,Auto,10,100,5,0,6,0,False,30,0,0,6,0,70,600,20,100,"Structural Similarity"
240,WEBM_WebM_768Kbps_360p.spfx,"WebM video for progressive download on fast 3g network connections.","Web.Progressive Download.WebM","SMI VRBS",ChannelModeStereo,96000,None,44100,16,"ON2!VP8 ",600000,,BitRateModeTwoPassVBR,-1,480x360,10/Seconds,"Good Quality",31,3,2,70,False,True,30,True,Auto,10,100,5,0,6,0,False,30,0,0,6,0,70,600,20,100,"Structural Similarity"
241,WEBM_YouTube_WebM_1080p.spfx,"Optimized output for YouTube upload of 1080p source files.",Web.Destinations.YouTube.WebM,"SMI VRBS",ChannelModeStereo,192000,None,48000,16,"ON2!VP8 ",6000000,,BitRateModeTwoPassVBR,-1,1920x1080,10/Seconds,"Good Quality",31,2,2,70,False,True,30,True,Auto,10,100,5,0,6,0,False,30,0,0,6,0,70,600,20,100,"Structural Similarity"
242,WEBM_YouTube_WebM_480p.spfx,"Optimized output for YouTube upload of 480p source files.",Web.Destinations.YouTube.WebM,"SMI VRBS",ChannelModeStereo,192000,None,48000,16,"ON2!VP8 ",2000000,,BitRateModeTwoPassVBR,-1,852x480,10/Seconds,"Best Quality",31,0,1,70,False,True,30,True,Auto,10,100,5,0,6,0,False,30,0,0,6,0,70,600,20,100,"Structural Similarity"
243,WEBM_YouTube_WebM_720p.spfx,"Optimized output for YouTube upload of 720p source files.",Web.Destinations.YouTube.WebM,"SMI VRBS",ChannelModeStereo,192000,None,48000,16,"ON2!VP8 ",5000000,,BitRateModeTwoPassVBR,-1,1280x720,10/Seconds,"Good Quality",31,0,2,70,False,True,30,True,Auto,10,100,5,0,6,0,False,30,0,0,6,0,70,600,20,100,"Structural Similarity"
